cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,1,1,4,0,17,3,6,5,3,4,1,0,0,2,0,2,4,1,1,0,3,1,2,7,2,12,7,16,12,3,17,13,11,21,11,1,7,17,31,18,27,4,4,3,49,12,16,24,14,0,4,11,43,14,23,27,3,7,36,20,27,30,24,17,8,39,39,36,45,42,15,20,63,60,60,44,60,24,26,73,66,63,63,60,33,24,78,58,73,63,69,15,26,68,54,50,69,56,17,11,38,39,79,69,67,11,8,92,119,53,43,77,21,32,82,83,81,87,72,22,13,51,96,51,72,72,17,21,69,61,59,59,61,32,17,61,72,52,41,32,17,10,29,0,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,6,3,2,10,9,7,11,16,7,21,29,44,66,30,38,25,20,70,41,58,58,48,33,44,81,104,102,84,98,46,44,110,108,91,111,85,44,68,112,97,109,89,91,78,91,144,141,118,123,142,75,69,130,125,126,113,145,70,72,215,155,170,228,208,66,79,136,134,127,118,115,84,71,152,169,161,146,152,103,68,170,172,145,148,110,88,93,175,187,150,142,175,84,62,209,193,178,171,171,112,61,207,193,173,190,162,71,91,209,205,165,152,123,51,64,142,157,163,147,127,76,86,147,129,128,113,123,76,57,132,114,106,106,108,46,59,129,115,80,56,29,34,21,20,0,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,2,4,4,1,13,7,5,11,16,5,5,23,24,24,22,9,7,5,14,17,5,9,6,3,8,7,12,4,9,13,5,7,10,4,4,14,2,9,6,7,12,10,11,9,6,10,7,16,13,8,5,11,3,11,15,17,8,15,7,9,16,14,22,18,22,13,8,36,18,16,22,22,14,20,53,38,47,29,25,22,21,52,30,47,48,19,35,17,33,47,53,54,41,45,35,66,58,73,70,64,57,49,88,113,93,126,118,38,48,129,121,132,117,89,60,41,152,111,115,142,104,66,39,174,152,120,152,101,64,40,163,142,151,123,107,79,35,88,3,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,1,0,3,2,0,0,2,1,5,2,2,4,3,4,3,6,2,5,7,6,7,4,6,8,4,6,8,8,6,11,11,18,9,16,11,14,14,7,24,20,16,12,15,15,15,17,21,24,16,25,17,14,33,35,31,29,20,19,7,38,23,19,39,41,24,23,42,58,69,74,34,27,21,98,81,104,87,99,54,38,104,92,85,90,94,52,47,69,89,70,92,59,31,36,79,90,90,97,107,51,54,104,62,115,105,89,45,46,104,97,84,79,80,34,24,66,83,67,60,52,31,29,50,64,46,45,21,16,12,20,0,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,5,1,0,2,2,4,2,5,1,1,5,2,6,3,3,1,0,5,5,6,3,10,4,7,9,9,11,15,13,9,12,21,9,19,13,18,9,14,31,27,35,34,34,23,21,32,46,67,66,82,40,34,93,64,74,105,99,55,50,146,132,125,142,126,70,70,146,144,114,109,128,70,73,140,129,110,95,105,68,60,95,91,113,95,82,53,39,95,86,98,88,84,42,44,68,54,63,52,62,42,23,42,44,33,30,41,21,24,37,26,29,23,30,10,29,33,21,21,18,33,13,14,21,26,19,18,27,15,9,16,29,33,27,8,4,6,6,0,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,1,1,0,1,2,3,2,2,5,5,5,8,8,5,9,13,14,8,11,11,12,17,11,20,18,26,30,21,23,24,47,41,38,59,50,39,28,59,59,68,74,48,49,31,61,76,75,64,57,44,52,71,52,80,76,62,54,54,84,68,67,88,67,63,30,79,60,58,49,78,23,34,69,76,50,46,65,28,28,70,54,56,57,43,22,24,48,62,46,54,53,31,22,48,48,49,38,62,28,18,64,67,88,76,53,24,25,73,64,76,54,89,47,27,103,76,88,77,60,43,29,83,85,106,92,66,38,27,64,57,73,61,38,29,16,27,20,20,20,10,3,1,3,1,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,3,12,17,24,21,10,26,34,31,39,24,12,11,25,35,25,50,39,49,35,77,51,55,71,79,57,55,118,127,125,128,147,110,114,268,247,228,250,327,197,185,446,433,399,345,508,247,222,496,536,566,531,327,321,293,718,589,680,705,788,392,354,796,802,879,792,926,585,360,1059,1001,1022,943,892,462,332,1009,892,968,823,905,527,395,1038,899,960,909,933,499,373,996,976,921,856,904,378,315,897,965,909,890,858,412,252,821,861,788,805,863,350,283,928,890,954,839,904,345,211,937,914,912,711,818,360,231,1011,859,1140,1057,1101,598,232,1065,1050,1124,1028,970,473,236,965,929,962,924,870,459,200,790,899,883,769,600,229,98,267,45,2
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,3,4,0,0,1,6,0,3,4,4,8,18,14,19,20,23,11,5,26,8,18,6,12,9,6,15,16,16,5,9,9,9,9,20,14,9,13,3,4,24,17,13,20,15,5,5,26,31,34,23,18,9,15,29,30,17,32,35,17,12,61,48,42,64,45,35,17,51,54,69,54,90,37,33,101,77,69,77,89,38,41,139,129,122,126,134,57,44,164,185,178,205,204,117,63,271,329,247,203,244,175,108,329,301,312,241,320,191,139,298,353,299,288,232,82,83,382,360,292,289,300,159,101,305,322,301,320,339,176,105,409,371,309,319,249,214,53,304,376,330,330,305,151,45,119,23,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,2,1,1,1,1,1,3,2,1,0,2,0,0,3,1,0,2,3,5,1,1,2,3,1,2,6,4,12,4,3,5,7,7,8,4,7,4,7,7,7,4,7,8,6,4,11,11,11,8,11,11,4,12,14,12,16,13,11,8,15,24,18,18,27,11,15,21,23,20,24,27,17,13,21,22,36,18,34,13,14,33,36,34,37,58,27,22,53,56,35,51,47,44,34,59,64,77,72,61,40,38,48,68,52,63,42,24,34,73,74,62,61,53,23,18,44,1,0
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,2,0,2,10,4,4,2,2,2,5,8,5,3,8,2,6,6,7,3,3,5,11,10,2,1,6,11,10,12,16,3,8,15,7,23,20,23,5,15,27,21,28,23,33,38,12,40,38,29,43,81,22,20,72,69,50,59,54,17,19,69,92,72,83,53,14,15,72,107,94,70,89,52,37,65,87,110,62,76,20,20,69,65,80,115,73,27,25,103,85,89,81,83,30,14,108,114,84,87,72,21,37,119,94,91,72,90,37,17,99,73,81,99,59,22,12,62,20,0
