cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,3,3,1,0,1,0,0,2,1,1,1,4,0,0,0,2,1,0,4,1,1,4,3,3,2,2,2,3,4,3,1,5,4,2,4,6,3,7,2,3,3,5,4,5,5,4,4,1,2,5,3,10,4,1,4,2,2,3,4,7,3,2,6,5,3,1,4,4,3,5,3,4,2,3,2,3,2,2,8,8,5,4,3,3,2,2,3,3,2,2,5,2,4,7,5,5,2,3,5,5,5,7,4,3,5,3,2,1,0,0,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,2,5,1,10,5,6,5,7,10,12,8,12,17,11,20,16,16,14,15,18,19,24,18,18,28,21,29,22,23,26,14,30,31,28,26,33,36,28,31,30,37,36,27,30,40,52,33,41,21,26,27,31,31,29,29,37,18,33,29,32,29,24,28,26,39,28,30,18,28,21,30,27,30,22,18,29,24,20,13,19,23,24,24,25,25,20,16,28,31,21,24,26,27,33,41,27,23,20,26,24,23,17,18,8,22,24,17,22,24,17,19,20,15,27,16,21,18,13,22,15,13,15,21,29,13,9,13,18,7,15,20,6,10,16,11,13,22,15,12,9,7,8,4,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,2,0,1,0,2,0,1,1,0,0,0,1,1,0,2,0,2,0,2,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,1,2,3,3,0,0,0,1,0,2,2,2,4,4,1,1,1,1,2,0,1,1,1,1,1,3,0,1,4,1,5,4,1,2,2,0,1,3,3,4,5,4,4,3,2,7,2,3,4,4,5,4,7,3,7,5,6,8,8,3,5,4,3,4,4,1,6,7,8,4,11,6,2,9,5,6,5,8,4,4,4,0,0,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,2,2,2,1,1,0,3,0,2,2,1,0,1,1,1,1,3,1,2,2,1,4,5,3,2,2,2,4,1,1,1,5,3,3,1,4,3,2,0,2,4,3,2,2,2,6,9,3,2,2,2,6,5,6,3,8,2,4,9,4,5,9,8,5,9,15,13,10,6,12,8,11,9,7,12,16,11,13,17,13,10,11,10,7,14,9,9,14,9,13,8,6,9,10,15,9,8,13,4,10,11,12,17,7,8,12,4,6,9,5,7,5,6,7,8,3,6,1,4,0,2,2,0,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,4,0,0,3,1,1,2,4,7,5,5,5,3,2,3,6,5,11,6,2,10,8,11,13,4,11,13,12,14,11,15,25,22,16,19,10,24,26,26,15,11,22,13,12,15,21,14,15,11,12,10,17,17,22,12,16,13,26,11,18,11,8,12,15,18,9,18,11,12,14,13,16,10,14,11,11,10,8,2,10,7,6,3,5,3,3,6,3,7,4,6,8,4,7,5,6,2,0,2,5,4,2,6,5,1,1,2,1,2,3,2,1,0,0,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,6,6,4,1,1,4,3,2,7,2,7,5,4,9,10,7,2,14,8,5,6,6,7,10,15,6,9,11,5,12,17,11,11,13,8,10,14,13,9,5,8,13,16,8,4,10,13,3,9,14,8,12,10,8,6,10,11,9,5,12,16,14,16,9,9,12,8,7,13,10,11,10,7,6,6,5,10,6,6,7,8,3,7,8,8,5,5,10,4,5,12,10,7,11,11,11,7,11,5,3,6,5,5,8,9,6,10,7,5,7,8,7,14,12,9,5,5,5,8,12,10,8,8,7,9,7,7,6,3,3,4,2,6,4,3,0,1,0,0,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,1,1,0,1,3,4,1,2,4,7,5,5,7,6,4,16,11,6,17,24,22,11,14,24,22,25,18,25,30,35,40,28,36,46,62,57,47,40,63,79,70,56,69,65,80,83,69,82,72,82,76,88,93,99,100,98,111,111,104,87,117,96,99,101,99,97,88,98,83,78,106,100,75,100,95,92,94,89,96,89,94,99,101,105,88,63,100,93,85,79,58,79,59,61,52,48,62,72,54,45,61,71,56,57,62,54,61,62,43,44,35,48,57,41,56,55,43,43,51,45,40,41,26,37,31,45,38,37,40,29,43,36,32,40,36,45,46,33,42,48,21,33,31,38,34,35,33,28,28,35,33,30,20,23,8,0
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,2,1,3,0,1,1,0,0,1,5,1,3,0,0,2,4,2,2,2,2,2,2,0,2,0,0,0,1,2,4,1,3,1,1,1,2,2,0,0,1,3,4,2,0,0,1,1,1,2,6,2,3,0,3,4,1,1,1,1,4,3,6,4,8,7,4,5,8,4,4,8,5,7,10,3,6,3,13,7,6,12,7,11,9,8,18,17,14,13,18,18,11,15,16,13,17,10,16,13,20,20,27,20,16,17,17,23,29,19,21,14,16,11,13,25,15,28,17,30,20,23,25,23,18,24,19,15,25,17,31,13,12,16,19,16,19,10,8,8,5,0,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,1,0,4,0,2,1,0,1,0,2,1,0,1,0,1,2,2,0,0,2,1,1,1,1,1,2,2,2,2,4,3,2,4,1,5,1,3,2,0,2,3,1,0,2,2,3,0,3,4,4,9,6,6,4,6,5,7,2,2,5,7,8,1,10,3,3,7,4,2,6,6,9,3,10,5,7,8,4,8,10,8,8,3,5,7,5,3,10,3,3,6,8,7,2,0
"10",1868996,"DURANGO",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2,1,0,0,0,0,2,1,0,0,0,1,3,3,2,1,0,0,5,1,0,0,3,3,2,2,4,3,0,3,1,4,1,2,4,3,2,3,2,6,4,7,4,6,6,6,9,2,3,1,3,3,4,5,5,6,2,5,2,2,7,5,2,3,4,4,7,7,5,2,10,7,4,7,4,7,6,6,3,10,2,4,6,1,8,4,4,1,3,6,9,4,3,5,7,8,3,6,5,6,3,4,0,4,5,4,1,2,1,3,0,0,0,0,0
