cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,1,1,4,0,17,3,6,5,3,4,1,0,0,2,0,2,4,1,1,0,3,1,2,7,2,12,7,15,12,3,17,13,11,21,11,1,7,17,30,18,27,4,4,3,49,12,16,24,14,0,4,11,43,14,23,27,3,7,36,20,27,29,24,17,8,39,39,35,45,42,15,20,63,61,60,44,60,24,25,73,66,63,63,60,33,24,79,58,72,63,69,15,26,68,53,50,67,56,17,11,39,39,78,68,65,10,7,93,115,50,43,76,20,31,73,22,1,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,6,3,2,10,9,7,11,16,7,21,29,44,65,30,38,25,20,68,41,58,58,48,33,44,81,103,102,85,99,46,44,110,106,92,110,85,44,68,112,97,109,90,91,78,91,144,140,119,122,142,75,69,131,125,125,112,143,70,72,215,156,170,225,206,66,79,136,134,124,116,114,84,70,153,164,159,145,152,100,67,167,170,143,143,106,88,86,148,180,147,141,172,84,61,205,171,166,154,165,108,59,199,156,163,178,115,36,46,127,132,108,90,59,27,28,47,24,2,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,2,4,4,1,13,7,5,11,16,5,5,23,24,24,22,9,7,5,14,17,5,9,6,3,8,7,12,4,9,13,5,7,10,4,4,14,2,9,6,7,12,10,11,9,6,10,7,16,13,8,5,11,3,11,15,17,8,15,7,9,16,14,22,18,23,13,8,36,18,16,22,22,14,20,53,38,47,29,25,22,21,52,30,47,48,19,35,17,33,47,53,54,42,45,35,63,58,75,69,52,39,47,87,111,91,115,103,36,40,74,21,0,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,2,1,0,3,2,0,0,2,1,5,2,2,4,3,4,3,6,2,5,7,6,7,4,6,8,4,6,8,8,6,11,11,18,9,16,11,14,13,7,24,20,16,12,15,15,15,17,21,24,16,25,17,14,34,35,29,29,20,19,8,39,24,19,39,40,24,23,42,59,69,75,36,27,22,98,79,102,87,100,54,40,104,90,85,89,93,51,47,70,90,69,91,59,30,34,74,92,79,80,85,25,18,45,5,0,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,5,1,0,2,2,4,2,5,1,1,5,2,6,3,3,1,0,5,5,6,3,10,4,7,9,9,11,15,13,9,12,21,9,19,13,18,9,14,31,27,35,34,34,23,21,32,46,67,66,81,40,34,93,65,74,105,99,55,50,146,132,125,142,126,70,70,146,144,114,109,126,70,71,140,127,109,95,106,64,60,93,89,112,93,82,53,39,95,85,98,88,84,42,44,69,53,55,48,61,42,21,37,41,28,23,28,12,21,21,4,0,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,1,1,0,1,2,2,2,2,5,3,5,7,6,5,9,12,11,7,10,8,12,13,9,18,13,20,26,15,17,22,41,35,36,54,41,35,24,54,52,58,61,43,45,27,55,71,67,56,50,35,41,66,45,71,62,55,45,35,73,54,59,76,62,50,28,71,51,54,45,72,23,30,61,71,41,39,53,26,25,61,50,52,52,43,21,22,45,56,41,53,53,31,22,49,41,45,39,50,24,17,63,60,78,64,44,24,22,63,52,42,26,39,12,4,22,2,1,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,3,12,17,24,21,10,26,34,31,39,24,12,11,25,35,25,50,39,49,35,77,51,55,71,79,57,55,117,127,125,127,147,110,114,268,247,226,250,327,197,185,446,432,399,344,508,247,222,495,535,565,530,327,320,292,717,588,681,704,787,390,354,794,801,875,789,917,584,358,1052,984,1016,935,884,458,324,1001,881,950,817,896,519,389,1030,887,950,899,920,485,365,976,972,908,840,900,370,313,886,951,893,872,842,387,248,791,838,766,781,814,333,273,881,852,890,799,878,303,202,890,846,788,628,690,310,204,781,313,81,1
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,3,4,0,0,1,6,0,3,4,4,8,18,14,19,19,21,11,4,25,8,16,6,11,9,6,15,16,16,5,9,6,9,9,19,14,9,13,3,4,24,16,13,19,15,5,5,26,31,34,23,18,9,15,29,29,17,32,35,17,13,61,47,42,63,45,35,17,47,54,69,54,84,37,33,100,72,65,74,87,37,41,134,127,120,126,131,54,43,159,183,178,201,200,114,63,268,325,244,197,228,174,110,300,274,281,195,268,162,97,252,274,217,197,129,30,22,53,61,5,3
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,2,1,1,1,1,1,3,2,1,0,2,0,0,3,1,0,2,3,5,1,1,2,3,1,2,6,4,12,4,3,5,7,7,8,4,7,4,7,7,7,4,7,8,6,4,11,11,11,8,11,11,4,12,14,12,16,13,11,8,15,24,18,18,26,10,15,21,23,20,24,27,17,13,21,22,35,18,34,12,14,32,36,33,37,57,26,14,36,27,0,0
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,2,0,2,10,4,4,2,2,2,5,8,5,3,8,2,6,6,7,3,3,5,11,10,2,1,6,11,10,12,16,3,8,15,7,23,20,23,5,15,27,21,28,23,33,38,12,40,37,29,43,81,22,20,71,68,50,59,54,16,19,69,92,73,82,53,14,15,72,107,94,70,90,53,37,65,88,110,65,74,19,20,65,68,82,114,67,25,17,68,38,0,0
